기관분류,기관명,접근성,링크,재생목록,채널,설명,가입일,최근 업로드,기준,업로드 기간,동영상 개수,평균 조회수,조회수,구독자
지역문화재단,관악문화재단,2,1,28,0,1,2020-04-17,2021-07-14,2021-07-15,1,280,309,123200,1310
지역문화재단,양천문화재단,2,1,13,1,1,2019-08-02,2021-07-01,2021-07-15,14,95,114,22600,439
지역문화재단,송파문화재단,0,-,-,-,-,-,-,-,-,-,-,-,-
지역문화재단,강동문화재단,1,1,6,0,0,2020-06-23,2021-06-17,2021-07-15,28,58,60,13900,246
지역문화재단,부천문화재단,2,1,13,0,1,2017-10-17,2021-07-12,2021-07-15,3,130,236,90100,2520
지역문화재단,고양문화재단,2,0,9,1,1,2009-11-30,2021-07-14,2021-07-15,1,219,92,231800,1080
지역문화재단,성남문화재단,2,1,6,0,1,2013-09-09,2021-07-06,2021-07-15,9,392,1879,11436,4490
지역문화재단,하남문화재단,1,1,6,0,1,2018-02-08,2021-07-13,2021-07-15,2,321,166,222900,2270
지역문화재단,화성시문화재단,2,1,11,2,1,2017-04-05,2021-07-09,2021-07-15,6,418,1388,420300,2380
지역문화재단,안양문화예술재단,2,1,12,1,1,2015-09-16,2021-07-05,2021-07-15,10,224,279,576900,비공개
지역문화재단,용인문화재단,2,0,0,1,1,2016-11-14,2021-06-11,2021-07-15,34,83,263,89500,812
지역문화재단,수원문화재단,2,0,18,2,1,2012-07-18,2021-07-14,2021-07-15,1,271,181,332700,2050
지역문화재단,오산문화재단,1,0,0,0,0,2013-12-04,2017-06-02,2021-07-15,1504,14,444,7791,10
지역문화재단,안산문화재단,2,1,11,2,1,2018-07-17,2021-07-12,2021-07-15,3,143,117,95700,248
지역문화재단,군포문화재단,1,0,10,0,0,2018-10-08,2021-07-08,2021-07-15,7,108,183,31900,712
지역문화재단,김포문화재단,2,1,11,1,1,2016-04-29,2021-07-14,2021-07-15,1,261,103,82800,733
지역문화재단,광명문화재단,2,0,14,0,0,2020-03-02,2021-06-29,2021-07-15,16,160,910,76200,650
지역문화재단,여주세종문화재단,2,0,9,1,0,2019-01-10,2021-04-29,2021-07-15,77,93,191,31400,460
지역문화재단,의정부문화재단,2,1,8,0,0,2020-03-25,2021-07-13,2021-07-15,2,91,257,30800,627
지역문화재단,부평구문화재단,1,1,9,2,0,2015-04-24,2021-06-30,2021-07-15,15,146,89,50700,470
지역문화재단,인천서구문화재단,2,1,7,2,1,2019-10-28,2021-07-10,2021-07-15,5,265,206,45900,845
지역문화재단,연수문화재단,2,1,10,1,0,2020-05-27,2021-07-07,2021-07-15,8,69,177,12000,253
지역문화재단,(대구 중구)도심재생문화재단,2,1,3,1,1,2020-05-12,2021-07-14,2021-07-15,1,26,56,1473,비공개
지역문화재단,수성문화재단,1,0,5,2,1,2020-06-04,2021-07-07,2021-07-15,8,38,183,8282,96
지역문화재단,달성문화재단,1,0,0,0,0,2018-05-29,2021-01-07,2021-07-15,189,16,139,3284,34
지역문화재단,대구동구문화재단,0,-,-,-,-,-,-,-,-,-,-,-,-
지역문화재단,달서문화재단,1,0,0,0,1,2020-05-18,2021-05-22,2021-07-15,54,29,172,5136,89
지역문화재단,행복북구문화재단,2,1,7,0,1,2018-11-08,2021-07-01,2021-07-15,14,65,161,32900,비공개
지역문화재단,금정문화재단,1,0,28,0,1,2016-07-11,2021-07-09,2021-07-15,6,239,63,18800,108
지역문화재단,부산진문화재단,2,1,4,0,1,2020-11-11,2021-03-31,2021-07-15,106,29,711,20600,117
지역문화재단,고래문화재단,2,0,6,0,1,2019-02-31,2021-07-01,2021-07-15,14,60,273,17800,159
지역문화재단,안동축제관광재단,0,-,-,-,-,-,-,-,-,-,-,-,-
지역문화재단,경주문화재단,2,1,7,0,1,2016-06-17,2021-05-05,2021-07-15,71,187,326,34200,456
지역문화재단,청송문화관광재단,1,1,0,0,1,2020-12-10,2021-02-08,2021-07-15,157,9,319,2871,38
지역문화재단,청도우리정신문화재단,1,1,1,1,1,2019-09-05,2020-03-18,2021-07-15,484,79,47,5201,10
지역문화재단,영양축제관광재단,2,1,4,1,1,2010-05-14,2021-05-04,2021-07-15,72,56,4691,418000,2520
지역문화재단,영주문화관광재단,1,1,4,1,1,2018-01-17,2021-06-15,2021-07-15,30,50,504,21700,1010
지역문화재단,포항문화재단,1,0,8,0,0,2017-01-17,2021-07-07,2021-07-15,8,78,362,23600,299
지역문화재단,거제시문화예술재단,1,1,5,0,1,2020-05-22,2021-07-09,2021-07-15,6,24,185,4436,56
지역문화재단,김해문화재단,1,0,15,1,0,2020-08-13,2021-07-12,2021-07-15,3,101,2223,89800,1210
지역문화재단,창원문화재단,2,1,5,0,1,2017-08-30,2021-07-05,2021-07-15,10,52,203,9931,143
지역문화재단,사천문화재단,1,0,0,0,0,2016-06-11,2021-05-27,2021-07-15,49,35,1031,31900,343
지역문화재단,밀양문화재단,1,0,8,0,1,2018-02-02,2021-07-02,2021-07-15,13,45,480,17100,511
